Actual,Predicted
5325.0,5265.741887775789
5300.0,5306.306058166681
5200.0,5301.996490855374
5125.0,5217.415274998023
5200.0,5138.387925229463
5125.0,5194.287786186839
5200.0,5126.493181446213
5250.0,5206.117393370739
5275.0,5239.069184463406
5125.0,5275.213093415373
5125.0,5144.76567182388
5175.0,5137.903699783555
5225.0,5164.561548186561
5225.0,5220.850581280809
5225.0,5227.593826708246
5200.0,5230.147370928473
5100.0,5204.622191033794
5175.0,5114.05053418281
5125.0,5175.978199473355
5150.0,5122.674745846329
5150.0,5159.927202991058
5275.0,5149.255834374948
5175.0,5268.1889509848415
5150.0,5180.43435008176
5225.0,5169.40909008561
5275.0,5216.459501345013
5350.0,5266.196024533853
5375.0,5343.149544822441
5350.0,5368.770617356818
5300.0,5353.317043588361
5275.0,5307.314561236294
5150.0,5279.25096529302
5200.0,5162.676029755586
5275.0,5203.30158778507
5250.0,5260.050476572223
5175.0,5252.354600272613
5275.0,5190.7539925398305
5100.0,5270.610892784478
5125.0,5110.064967499072
5100.0,5142.835681910767
4900.0,5092.68715694433
4950.0,4925.414841246319
5025.0,4957.0043230199135
4910.0,5010.289561920775
4950.0,4928.506390259303
4880.0,4964.939260993945
5025.0,4879.685565553751
5150.0,5031.270835598786
5175.0,5137.494517072733
5225.0,5181.355261788316
5100.0,5230.186305121549
5050.0,5114.791640603976
5125.0,5068.487426771701
5075.0,5117.553009552013
4580.0,5077.385496460684
4530.0,4637.4967248731655
4710.0,4516.418573026971
4800.0,4664.249248284226
4740.0,4807.126401863753
4700.0,4770.4714866175245
4710.0,4713.032297420258
4550.0,4705.562734298194
4510.0,4546.646674744277
4460.0,4492.76694680565
4320.0,4426.525964181744
4290.0,4285.575708229263
4500.0,4236.669429223933
4580.0,4467.273355703863
4600.0,4586.3238577073525
4560.0,4622.7081226246355
4560.0,4564.536212722647
4510.0,4552.564770236811
4350.0,4496.131728447948
4360.0,4324.977420109532
4460.0,4312.847392134198
4420.0,4426.874747143254
4450.0,4410.160139637438
4450.0,4435.569499686672
4490.0,4430.123960510037
4430.0,4476.673069810983
4400.0,4415.464094553499
4420.0,4375.569955803196
4430.0,4388.984830517534
4460.0,4407.464499361744
4620.0,4443.524851737375
4530.0,4615.877717184609
4570.0,4540.103631317971
4550.0,4573.511859891948
4580.0,4536.297855948006
4640.0,4576.3780630516985
4560.0,4637.187016349617
4540.0,4563.669445516905
4510.0,4533.605712312952
4540.0,4489.876311954537
4470.0,4525.791537867786
4380.0,4456.319214544473
4460.0,4355.259179473827
4540.0,4426.206528093497
4530.0,4526.308761644147
4520.0,4534.608934845229
4450.0,4516.891523955515
4530.0,4433.1080434568485
4490.0,4511.168373070492
4610.0,4477.192642716428
4610.0,4608.369368672178
4540.0,4610.979284955032
4720.0,4547.619753369169
4740.0,4717.208482164198
4690.0,4745.514728633803
4560.0,4715.663873914284
4610.0,4559.831995396449
4630.0,4594.385831054587
4740.0,4617.57539695501
4760.0,4748.080556871706
4760.0,4771.293502589424
4760.0,4778.164650929841
4890.0,4767.806310333673
4890.0,4894.824054148304
4970.0,4899.092819020791
5025.0,4986.999626942796
5125.0,5027.991860628008
